Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
AUREA,"1,927,885",645.84,"2,985",Mar-25,BEACH ROAD,New Sale,Strata,60,"32,131",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,06 to 10
AUREA,"1,975,740",710.42,"2,781",Mar-25,BEACH ROAD,New Sale,Strata,66,"29,935",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,11 to 15
AUREA,"4,239,205","1,442.38","2,939",Mar-25,BEACH ROAD,New Sale,Strata,134,"31,636",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,11 to 15
AUREA,"1,981,435",710.42,"2,789",Mar-25,BEACH ROAD,New Sale,Strata,66,"30,022",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,11 to 15
AUREA,"4,311,115","1,442.38","2,989",Mar-25,BEACH ROAD,New Sale,Strata,134,"32,173",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,11 to 15
AUREA,"1,999,880",710.42,"2,815",Mar-25,BEACH ROAD,New Sale,Strata,66,"30,301",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,11 to 15
AUREA,"2,049,605",710.42,"2,885",Mar-25,BEACH ROAD,New Sale,Strata,66,"31,055",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,16 to 20
AUREA,"3,016,225","1,001.05","3,013",Mar-25,BEACH ROAD,New Sale,Strata,93,"32,433",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,16 to 20
AUREA,"3,111,340","1,001.05","3,108",Mar-25,BEACH ROAD,New Sale,Strata,93,"33,455",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,21 to 25
AUREA,"5,867,210","1,797.59","3,264",Mar-25,BEACH ROAD,New Sale,Strata,167,"35,133",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,21 to 25
AUREA,"6,091,865","1,797.59","3,389",Mar-25,BEACH ROAD,New Sale,Strata,167,"36,478",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,26 to 30
AUREA,"1,963,752",710.42,"2,764",Mar-25,BEACH ROAD,New Sale,Strata,66,"29,754",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,11 to 15
AUREA,"5,795,300","1,797.59","3,224",Mar-25,BEACH ROAD,New Sale,Strata,167,"34,702",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,21 to 25
AUREA,"1,959,796",710.42,"2,759",Mar-25,BEACH ROAD,New Sale,Strata,66,"29,694",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,16 to 20
AUREA,"2,886,574","1,001.05","2,884",Mar-25,BEACH ROAD,New Sale,Strata,93,"31,038",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,16 to 20
THE BENCOOLEN,"1,570,000",968.76,"1,621",Mar-25,BENCOOLEN STREET,Resale,Strata,90,"17,444",-,Apartment,1,99 yrs lease commencing from 1995,07,Rest of Central Region,16 to 20
MIDTOWN MODERN,"2,388,888",721.19,"3,312",Mar-25,TAN QUEE LAN STREET,Sub Sale,Strata,67,"35,655",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,11 to 15
MIDTOWN BAY,"4,388,000","1,323.97","3,303",Mar-25,BEACH ROAD,New Sale,Strata,123,"35,558","4,373,600",Apartment,1,99 yrs lease commencing from 2018,07,Core Central Region,26 to 30
CITY GATE,"1,520,000",678.13,"2,241",Feb-25,BEACH ROAD,Resale,Strata,63,"24,127",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,16 to 20
SOUTHBANK,"2,520,000","1,313.21","1,919",Feb-25,NORTH BRIDGE ROAD,Resale,Strata,122,"20,656",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,26 to 30
SOUTHBANK,"1,736,000",904.18,"1,920",Feb-25,NORTH BRIDGE ROAD,Resale,Strata,84,"20,667",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,26 to 30
SOUTHBANK,"1,222,000",613.55,"1,992",Feb-25,NORTH BRIDGE ROAD,Resale,Strata,57,"21,439",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,31 to 35
